ts=68239683; t=2025-05-13T18:59:15; ll=0; started=/usr/local/bin/pagekite.py; version=1.5.2.240101; platform=darwin; python=3.9.6 (default, Mar 12 2025, 20:22:46)  [Clang 17.0.0 (clang-1700.0.13.3)]; argv=4000 atsscribe.pagekite.me; ca_certs=/etc/ssl/cert.pem; send_always_buffers=False; tunnel_socket_blocks=False; optfile_.SELF/defaults.cfg=ok; optfile_/Users/raja/.pagekite.rc=ok
ts=68239684; t=2025-05-13T18:59:16; ll=1; FE=45.33.98.215:443; http_ping_ms=161; win=2; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=68239684; t=2025-05-13T18:59:16; ll=2; FE=172.104.8.71:443; http_ping_ms=213; win=2; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=163
ts=68239684; t=2025-05-13T18:59:16; ll=3; FE=139.162.73.59:443; http_ping_ms=300; win=2; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=250
ts=68239684; t=2025-05-13T18:59:16; ll=4; FE=172.105.176.167:443; http_ping_ms=372; win=2; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=322
ts=68239684; t=2025-05-13T18:59:16; ll=5; FE=139.162.152.224:443; http_ping_ms=374; win=2; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=324
ts=68239684; t=2025-05-13T18:59:16; ll=6; FE=109.237.26.34:443; http_ping_ms=384; win=2; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=334
ts=68239685; t=2025-05-13T18:59:17; ll=7; FE=139.162.16.102:443; http_ping_ms=416; win=2; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=366
ts=68239685; t=2025-05-13T18:59:17; ll=8; FE=95.216.167.199:443; http_ping_ms=422; win=2; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=372
ts=68239685; t=2025-05-13T18:59:17; ll=9; FE=185.112.146.199:443; http_ping_ms=442; win=2; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=392
ts=68239685; t=2025-05-13T18:59:17; ll=a; FE=172.105.59.232:443; http_ping_ms=537; win=2; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=487
ts=68239689; t=2025-05-13T18:59:21; ll=b; connect=45.33.98.215:443
ts=6823968a; t=2025-05-13T18:59:22; ll=c; FE=45.33.98.215:443; err=Duplicate; proto=http; domain=atsscribe.pagekite.me; id=s1
ts=6823968a; t=2025-05-13T18:59:22; ll=d; FE=45.33.98.215:443; ports=79,80,443,465,843,993,995,1965,2222,3000,4545,5222,5223,5269,5670,6667,8000,8080,8081,8082,8083,9292,25565; protocols=http,http2,http3,https,websocket,irc,finger,httpfinger,raw,minecraft; raw_ports=virtual
ts=6823968a; t=2025-05-13T18:59:22; ll=e; wrote=478; wbps=275; read=889; eof=1; id=s1
ts=6823968b; t=2025-05-13T18:59:23; ll=f; FE=45.33.98.215:443; http_ping_ms=161; win=2; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
